,txn_id,crypto_prob,credit_prob,final_prob,uncertainty,decision,mode
42,42,0.0015772118931636214,0.9968100190162659,0.997615553963621,0.004768892072757991,BLOCK,CREDIT_HEAVY
41,41,0.0015709912404417992,0.5742648839950562,0.7567704210205094,0.4864591579589812,BLOCK,CREDIT_HEAVY
27,27,1.2041528798384382e-14,0.08246177434921265,0.28715984113612986,0.5743196822722597,OTP,CREDIT_HEAVY
40,40,0.0001160048195743002,0.054903123527765274,0.234065401360196,0.468130802720392,OTP,CREDIT_HEAVY
25,25,0.04307424649596214,0.0000785028314567171,0.20735243654628663,0.4147048730925733,OTP,CRYPTO_HEAVY
12,12,0.006929083727300167,0.04486418515443802,0.19947011574392431,0.39894023148784863,ALLOW,CREDIT_HEAVY
24,24,0.037252407521009445,0.00005260249236016534,0.1928703093205617,0.3857406186411234,ALLOW,CRYPTO_HEAVY
19,19,0.03513422608375549,0.0005000688834115863,0.1861376377674216,0.3722752755348432,ALLOW,CRYPTO_HEAVY
8,8,0.000595838762819767,0.02794635482132435,0.16545221091004805,0.33090442182009605,ALLOW,CREDIT_HEAVY
21,21,0.0242792796343565,0.00014842775999568403,0.1553437084287384,0.3106874168574768,ALLOW,CRYPTO_HEAVY
20,20,0.02173173613846302,0.00014338258188217878,0.14693279502879347,0.29386559005758695,ALLOW,CRYPTO_HEAVY
0,0,0.016531944274902344,0.000036087207263335586,0.1284329345581805,0.256865869116361,ALLOW,CRYPTO_HEAVY
2,2,0.015571464784443378,0.000040385602915193886,0.12462059761140136,0.24924119522280275,ALLOW,CRYPTO_HEAVY
32,32,0.01208178885281086,0.017131567001342773,0.12264832511273706,0.2452966502254741,ALLOW,BALANCED
33,33,0.011130733415484428,0.0002071717317448929,0.10454744727535573,0.2090948945507114,ALLOW,CRYPTO_HEAVY
11,11,0.009412847459316254,0.011321783997118473,0.10224815284234745,0.2044963056846949,ALLOW,BALANCED
10,10,0.008786547929048538,0.00013894488802179694,0.09301053576715652,0.18602107153431302,ALLOW,CRYPTO_HEAVY
9,9,0.0070722587406635284,0.00003765863220905885,0.08386900328945911,0.16773800657891824,ALLOW,CRYPTO_HEAVY
47,47,0.0004607479786500335,0.007304143626242876,0.08304930168064421,0.16609860336128845,ALLOW,CREDIT_HEAVY
36,36,0.0059907762333750725,0.00003597700924728997,0.0771637271588962,0.15432745431779238,ALLOW,CRYPTO_HEAVY
18,18,0.005652541294693947,0.00010027873940998688,0.07453048330579097,0.14906096661158197,ALLOW,CRYPTO_HEAVY
37,37,0.0009099884773604572,0.003944751340895891,0.058096558582478995,0.11619311716495795,ALLOW,CREDIT_HEAVY
30,30,0.0029889768920838833,0.00007198187086032704,0.054031719642569705,0.1080634392851394,ALLOW,CRYPTO_HEAVY
13,13,0.0031103433575481176,0.0002437324437778443,0.05386249920612952,0.10772499841225902,ALLOW,CRYPTO_HEAVY
28,28,0.002214959356933832,0.000020619056158466265,0.04683737141229379,0.09367474282458754,ALLOW,CRYPTO_HEAVY
23,23,0.002408697735518217,0.00031189838773570955,0.046556598071897035,0.0931131961437941,ALLOW,CRYPTO_HEAVY
48,48,0.000031017294531920925,0.00205073575489223,0.04494076737635378,0.08988153475270755,ALLOW,CREDIT_HEAVY
14,14,0.0018183734500780702,0.00011090849147876725,0.04146474842250732,0.0829294968450146,ALLOW,CRYPTO_HEAVY
26,26,0.0013315065298229456,0.00006456892879214138,0.03566509698030774,0.07133019396061546,ALLOW,CRYPTO_HEAVY
38,38,0.001116467290557921,0.000024177290470106527,0.03305082850868787,0.06610165701737569,ALLOW,CRYPTO_HEAVY
15,15,0.0010534223401919007,0.00003854635724565014,0.03188520513108622,0.06377041026217245,ALLOW,CRYPTO_HEAVY
46,46,0.0010211621411144733,0.000032783391361590475,0.03145599143025205,0.06291198286050415,ALLOW,CRYPTO_HEAVY
31,31,0.0009286118438467383,0.00012697375495918095,0.02883395885941779,0.057667917718835615,ALLOW,CRYPTO_HEAVY
34,34,1.084415002239325e-9,0.000622700375970453,0.02493393066421251,0.04986786132842502,ALLOW,CREDIT_HEAVY
22,22,0.0005637435824610293,0.000021672336515621282,0.023296969050408654,0.046593938100817356,ALLOW,CRYPTO_HEAVY
3,3,0.0005365128163248301,0.00004969240035279654,0.022235148642353014,0.04447029728470597,ALLOW,CRYPTO_HEAVY
39,39,0.0004061971267219633,0.00004834241553908214,0.01916584101525087,0.038331682030501746,ALLOW,CRYPTO_HEAVY
45,45,0.00022914809233043343,0.0003905925259459764,0.018175963155699026,0.03635192631139805,ALLOW,BALANCED
35,35,0.0003235388721805066,0.00029617417021654546,0.017605695830495476,0.035211391660990965,ALLOW,BALANCED
1,1,0.0002332819567527622,0.0002631018287502229,0.01576663566067176,0.03153327132134354,ALLOW,BALANCED
49,49,0.000033368236472597346,0.000201508475583978,0.013299182889099724,0.026598365778199407,ALLOW,CREDIT_HEAVY
43,43,0.00012916934792883694,0.0000871627198648639,0.010570142920322646,0.021140285840645312,ALLOW,BALANCED
7,7,0.00009123994095716625,0.00010247510363114998,0.009832813819557052,0.01966562763911406,ALLOW,BALANCED
44,44,0.000004766157417179784,0.00007579632801935077,0.00840930018099052,0.016818600361981018,ALLOW,CREDIT_HEAVY
4,4,0.00005689467798219994,0.000051435548812150955,0.007335256002491565,0.01467051200498315,ALLOW,BALANCED
16,16,1.401298464324817e-45,0.00005299425538396463,0.007211988343912217,0.014423976687824469,ALLOW,CREDIT_HEAVY
5,5,0.000059578338550636545,0.00001839614924392663,0.007016483958496798,0.0140329679169936,ALLOW,CRYPTO_HEAVY
